sample,species
055659.png,pinus
084384.png,urticaceae
016459.png,populus
012213.png,betula
112427.png,alnus
008731.png,pinus
035133.png,corylus
017867.png,carpinus
016503.png,urticaceae
044599.png,salix
019765.png,picea
097846.png,picea
114020.png,fraxinus
112147.png,picea
114074.png,carpinus
088183.png,fraxinus
059041.png,urticaceae
049670.png,betula
051232.png,poaceae
008772.png,quercus
070993.png,fagus
067458.png,fraxinus
045986.png,urticaceae
097253.png,populus
022147.png,pinus
076030.png,cupressaceae
071260.png,tilia
096365.png,pinus
030621.png,fagus
021252.png,cupressaceae
018191.png,urticaceae
021066.png,salix
037123.png,carpinus
078703.png,tilia
019231.png,urticaceae
058297.png,pinus
008392.png,pinus
006808.png,salix
021577.png,fraxinus
021924.png,salix
102744.png,populus
078773.png,betula
106594.png,carpinus
003437.png,tilia
099004.png,fraxinus
042452.png,pinus
048665.png,pinus
057089.png,carpinus
061445.png,picea
071210.png,poaceae
104524.png,poaceae
075638.png,salix
008553.png,quercus
056174.png,urticaceae
002194.png,fraxinus
097183.png,urticaceae
000363.png,salix
015673.png,alnus
048754.png,betula
060413.png,populus
055243.png,urticaceae
063677.png,carpinus
042168.png,salix
016988.png,fraxinus
096774.png,corylus
091954.png,fagus
011678.png,poaceae
089484.png,corylus
059610.png,fraxinus
088421.png,betula
017524.png,populus
099375.png,carpinus
067299.png,alnus
097185.png,picea
042179.png,corylus
109200.png,picea
089754.png,populus
111289.png,betula
004422.png,poaceae
093972.png,fraxinus
069610.png,betula
060874.png,betula
055809.png,fraxinus
039532.png,corylus
104222.png,alnus
050505.png,betula
025670.png,corylus
016629.png,urticaceae
095385.png,pinus
017904.png,tilia
048750.png,quercus
054252.png,quercus
023023.png,pinus
038203.png,quercus
027532.png,cupressaceae
085694.png,populus
096878.png,alnus
097679.png,carpinus
071528.png,urticaceae
088694.png,alnus
029126.png,urticaceae
042249.png,corylus
026731.png,carpinus
095194.png,pinus
032985.png,cupressaceae
096768.png,poaceae
043123.png,fagus
016217.png,picea
054438.png,corylus
020411.png,cupressaceae
045210.png,carpinus
109699.png,poaceae
100286.png,corylus
022661.png,salix
107486.png,alnus
096021.png,corylus
109311.png,picea
061685.png,quercus
103186.png,urticaceae
105118.png,picea
013990.png,tilia
051523.png,cupressaceae
091720.png,carpinus
056587.png,fagus
106269.png,fagus
113307.png,fagus
056096.png,alnus
003485.png,tilia
012158.png,alnus
046550.png,carpinus
005857.png,poaceae
078260.png,fagus
033977.png,salix
074098.png,populus
063037.png,urticaceae
112322.png,fraxinus
034595.png,fagus
109009.png,pinus
029566.png,populus
056411.png,urticaceae
090427.png,picea
108002.png,carpinus
034205.png,salix
041136.png,urticaceae
045085.png,poaceae
025814.png,urticaceae
014052.png,cupressaceae
048453.png,quercus
092078.png,urticaceae
022121.png,corylus
063204.png,pinus
062640.png,fraxinus
029441.png,alnus
004412.png,tilia
060873.png,betula
016830.png,pinus
054616.png,urticaceae
040427.png,fagus
092294.png,populus
050597.png,cupressaceae
039299.png,tilia
068665.png,betula
097622.png,alnus
038463.png,populus
009376.png,fraxinus
014918.png,urticaceae
046961.png,salix
049954.png,salix
004644.png,salix
081704.png,corylus
031151.png,carpinus
020807.png,salix
081732.png,urticaceae
114767.png,betula
000017.png,fagus
089035.png,poaceae
067967.png,corylus
041137.png,cupressaceae
065905.png,betula
044480.png,cupressaceae
023642.png,populus
079944.png,salix
088566.png,quercus
035988.png,populus
088818.png,corylus
002586.png,quercus
004657.png,pinus
023398.png,picea
070063.png,cupressaceae
107439.png,quercus
038256.png,quercus
007459.png,populus
039079.png,salix
070088.png,tilia
048012.png,fraxinus
048915.png,populus
096105.png,tilia
081938.png,poaceae
027317.png,cupressaceae
024708.png,poaceae
114826.png,urticaceae
114518.png,carpinus
036604.png,alnus
097503.png,cupressaceae
055392.png,urticaceae
061040.png,picea
015443.png,tilia
102800.png,urticaceae
107197.png,corylus
031849.png,betula
015664.png,carpinus
063031.png,corylus
047320.png,picea
082696.png,quercus
009946.png,quercus
077231.png,betula
114865.png,populus
102797.png,populus
032212.png,salix
074813.png,urticaceae
013650.png,poaceae
085875.png,cupressaceae
042186.png,fagus
008463.png,poaceae
064629.png,salix
081333.png,poaceae
064120.png,picea
039981.png,pinus
009325.png,salix
064285.png,urticaceae
043072.png,picea
055737.png,pinus
015985.png,salix
077215.png,fraxinus
103763.png,fraxinus
031449.png,salix
001894.png,urticaceae
070458.png,fagus
083496.png,carpinus
092251.png,pinus
025139.png,fraxinus
069045.png,tilia
013236.png,corylus
037210.png,cupressaceae
030559.png,alnus
092780.png,salix
049944.png,fraxinus
051879.png,alnus
070282.png,corylus
012873.png,corylus
098178.png,fagus
113250.png,carpinus
065362.png,quercus
081804.png,alnus
019326.png,tilia
025412.png,picea
024351.png,betula
085681.png,populus
099686.png,fraxinus
037026.png,alnus
025270.png,betula
038044.png,salix
021413.png,picea
045735.png,alnus
002691.png,fagus
047127.png,populus
064590.png,pinus
112285.png,pinus
034383.png,alnus
001956.png,picea
085125.png,tilia
031435.png,urticaceae
111111.png,picea
034407.png,poaceae
074658.png,corylus
039915.png,cupressaceae
091361.png,salix
094218.png,poaceae
055207.png,fagus
052092.png,urticaceae
061415.png,fraxinus
079866.png,pinus
037879.png,cupressaceae
022090.png,salix
005018.png,urticaceae
013817.png,pinus
023499.png,corylus
076936.png,cupressaceae
077504.png,populus
082256.png,poaceae
067323.png,alnus
038071.png,poaceae
101854.png,urticaceae
064959.png,pinus
017981.png,poaceae
097693.png,alnus
005465.png,fagus
072856.png,urticaceae
017081.png,tilia
076710.png,cupressaceae
077819.png,fraxinus
111937.png,cupressaceae
039110.png,poaceae
008124.png,picea
031716.png,populus
065802.png,fagus
047685.png,poaceae
108673.png,urticaceae
019173.png,quercus
098637.png,populus
026924.png,tilia
093268.png,betula
064180.png,corylus
107485.png,quercus
099598.png,populus
056634.png,picea
080712.png,fraxinus
015720.png,fraxinus
056317.png,cupressaceae
080044.png,carpinus
101425.png,poaceae
082356.png,fraxinus
018437.png,fraxinus
097316.png,salix
028835.png,betula
010231.png,carpinus
028064.png,salix
085609.png,fraxinus
003557.png,salix
057790.png,tilia
007613.png,alnus
061021.png,cupressaceae
028281.png,cupressaceae
050316.png,alnus
023426.png,urticaceae
069074.png,fagus
096091.png,betula
095404.png,poaceae
051202.png,corylus
100054.png,fagus
083555.png,fraxinus
064158.png,alnus
067862.png,corylus
072427.png,quercus
023275.png,picea
079920.png,salix
022215.png,cupressaceae
022160.png,poaceae
054908.png,pinus
045242.png,alnus
090351.png,corylus
076487.png,salix
041050.png,corylus
025294.png,quercus
006427.png,urticaceae
104374.png,tilia
043876.png,fraxinus
090941.png,tilia
031742.png,poaceae
084091.png,carpinus
093838.png,poaceae
021219.png,poaceae
019781.png,corylus
093855.png,alnus
013177.png,betula
082607.png,tilia
081781.png,picea
011634.png,fagus
054341.png,tilia
018131.png,alnus
013946.png,pinus
044350.png,alnus
037433.png,quercus
036694.png,salix
017840.png,tilia
001981.png,quercus
001737.png,salix
069357.png,corylus
106321.png,fraxinus
086490.png,cupressaceae
098578.png,tilia
094675.png,corylus
046068.png,pinus
062705.png,carpinus
064382.png,urticaceae
081535.png,fraxinus
044703.png,picea
054298.png,quercus
038903.png,fraxinus
046328.png,corylus
059297.png,salix
099666.png,corylus
074655.png,populus
072723.png,tilia
050264.png,pinus
066998.png,fraxinus
063978.png,cupressaceae
068799.png,picea
075912.png,populus
044888.png,urticaceae
009658.png,poaceae
101205.png,alnus
018244.png,quercus
047250.png,salix
067350.png,corylus
016638.png,picea
067431.png,cupressaceae
028575.png,betula
092463.png,fraxinus
067631.png,salix
075849.png,populus
046591.png,populus
060376.png,fagus
037750.png,quercus
080431.png,salix
112284.png,cupressaceae
068690.png,carpinus
084696.png,betula
031209.png,urticaceae
098392.png,urticaceae
100016.png,tilia
105900.png,populus
038902.png,pinus
066455.png,tilia
035827.png,corylus
018501.png,urticaceae
111732.png,populus
076693.png,urticaceae
050561.png,carpinus
000720.png,poaceae
086461.png,betula
025948.png,salix
081589.png,populus
092102.png,pinus
070307.png,cupressaceae
079558.png,carpinus
107319.png,fraxinus
002355.png,salix
048209.png,salix
072282.png,salix
042410.png,corylus
098023.png,cupressaceae
055215.png,tilia
095170.png,salix
063839.png,fraxinus
073839.png,alnus
001725.png,urticaceae
030594.png,corylus
100656.png,betula
019656.png,urticaceae
040954.png,picea
102457.png,urticaceae
094181.png,picea
037234.png,fraxinus
001979.png,cupressaceae
104385.png,picea
102292.png,picea
022275.png,poaceae
109140.png,tilia
027385.png,corylus
044821.png,cupressaceae
021339.png,poaceae
064579.png,picea
051394.png,corylus
036956.png,quercus
098376.png,quercus
070099.png,alnus
025633.png,corylus
054338.png,picea
059212.png,poaceae
043256.png,fraxinus
075756.png,alnus
039909.png,tilia
088354.png,alnus
074201.png,picea
043116.png,carpinus
069408.png,salix
092158.png,populus
076150.png,picea
111426.png,salix
068123.png,tilia
003181.png,quercus
009808.png,fagus
096504.png,poaceae
026512.png,fagus
045948.png,pinus
029803.png,fraxinus
021800.png,urticaceae
090982.png,salix
040513.png,fraxinus
101877.png,corylus
019986.png,tilia
008798.png,carpinus
048104.png,salix
070773.png,carpinus
038650.png,quercus
053538.png,salix
017032.png,corylus
036944.png,poaceae
097556.png,quercus
102388.png,corylus
012534.png,tilia
018559.png,fagus
100293.png,tilia
091634.png,fraxinus
102290.png,corylus
075454.png,fraxinus
107908.png,fagus
099767.png,salix
036683.png,quercus
099118.png,salix
097834.png,fraxinus
015951.png,salix
088732.png,poaceae
037417.png,salix
094579.png,urticaceae
106548.png,urticaceae
049608.png,fraxinus
005370.png,urticaceae
043931.png,carpinus
023915.png,poaceae
034238.png,betula
113084.png,alnus
040515.png,carpinus
102534.png,urticaceae
004109.png,quercus
060602.png,populus
095199.png,quercus
088583.png,carpinus
092153.png,alnus
068238.png,poaceae
003716.png,cupressaceae
113003.png,quercus
013873.png,populus
064377.png,carpinus
014269.png,betula
043056.png,populus
079936.png,betula
038771.png,alnus
005360.png,fagus
106335.png,populus
088072.png,poaceae
070932.png,corylus
105177.png,carpinus
037308.png,fagus
004298.png,pinus
023190.png,salix
061117.png,quercus
027570.png,poaceae
097025.png,fagus
088645.png,carpinus
080925.png,urticaceae
045667.png,salix
055823.png,betula
097356.png,cupressaceae
107969.png,fagus
112373.png,pinus
032464.png,urticaceae
112947.png,tilia
025809.png,pinus
112657.png,salix
027492.png,fagus
042501.png,poaceae
033591.png,salix
044615.png,betula
007008.png,alnus
040851.png,urticaceae
008248.png,poaceae
058130.png,cupressaceae
054804.png,fagus
020718.png,picea
076862.png,carpinus
107312.png,poaceae
066297.png,corylus
095897.png,poaceae
039182.png,cupressaceae
014630.png,fagus
010029.png,betula
074534.png,fagus
029489.png,carpinus
044503.png,betula
086286.png,corylus
095655.png,quercus
064076.png,poaceae
040163.png,salix
017962.png,salix
084355.png,tilia
087593.png,cupressaceae
103749.png,alnus
108452.png,carpinus
066247.png,urticaceae
013462.png,cupressaceae
068170.png,betula
085721.png,picea
007190.png,fraxinus
094738.png,quercus
079761.png,cupressaceae
015161.png,corylus
059826.png,fraxinus
081330.png,corylus
044510.png,alnus
055701.png,fagus
022890.png,poaceae
042048.png,betula
053303.png,urticaceae
103722.png,betula
100147.png,salix
039470.png,fagus
004806.png,poaceae
056697.png,carpinus
011209.png,poaceae
110864.png,carpinus
112727.png,corylus
104718.png,salix
022801.png,cupressaceae
072639.png,urticaceae
059667.png,picea
111674.png,corylus
090668.png,quercus
015888.png,poaceae
042128.png,fagus
053706.png,alnus
029600.png,betula
065960.png,alnus
099452.png,pinus
032512.png,fraxinus
050287.png,fraxinus
046180.png,tilia
077537.png,urticaceae
070342.png,populus
003979.png,fraxinus
051663.png,poaceae
000631.png,carpinus
055778.png,tilia
000844.png,fagus
001609.png,fraxinus
113648.png,urticaceae
005491.png,pinus
018045.png,carpinus
075805.png,fraxinus
036662.png,carpinus
075124.png,urticaceae
015460.png,cupressaceae
087674.png,tilia
092625.png,populus
079683.png,salix
034309.png,salix
038347.png,urticaceae
095218.png,salix
070418.png,pinus
006425.png,fagus
092116.png,picea
053829.png,salix
051188.png,alnus
030456.png,poaceae
099802.png,corylus
002268.png,quercus
094157.png,fraxinus
111030.png,populus
091504.png,alnus
109817.png,fraxinus
000449.png,urticaceae
036040.png,carpinus
079491.png,salix
056254.png,salix
102191.png,urticaceae
000949.png,fagus
098324.png,populus
003333.png,alnus
010435.png,fagus
071071.png,urticaceae
078234.png,carpinus
012443.png,salix
068786.png,cupressaceae
103754.png,fagus
087484.png,cupressaceae
085181.png,urticaceae
024979.png,quercus
099824.png,cupressaceae
072858.png,fagus
057933.png,fraxinus
086036.png,urticaceae
077883.png,salix
062189.png,urticaceae
089120.png,poaceae
085047.png,poaceae
035603.png,picea
113666.png,pinus
055781.png,cupressaceae
047023.png,quercus
012585.png,corylus
070654.png,populus
031093.png,picea
064880.png,salix
013641.png,cupressaceae
018960.png,salix
083128.png,urticaceae
045413.png,pinus
065450.png,urticaceae
085840.png,pinus
010563.png,carpinus
055925.png,tilia
032948.png,fraxinus
041899.png,pinus
031213.png,pinus
037434.png,populus
054768.png,urticaceae
094010.png,tilia
033981.png,quercus
079325.png,urticaceae
074425.png,pinus
016070.png,pinus
076361.png,alnus
025837.png,betula
051559.png,populus
034311.png,fagus
028324.png,corylus
100000.png,picea
110329.png,pinus
052998.png,alnus
039591.png,populus
055080.png,carpinus
032295.png,populus
108505.png,pinus
100975.png,poaceae
077247.png,populus
019338.png,tilia
071011.png,poaceae
047950.png,quercus
005992.png,quercus
056654.png,urticaceae
022413.png,cupressaceae
060066.png,cupressaceae
009864.png,alnus
039465.png,quercus
019538.png,betula
022020.png,populus
067523.png,quercus
061232.png,tilia
030246.png,poaceae
058406.png,carpinus
039664.png,fraxinus
000721.png,poaceae
049073.png,quercus
053617.png,cupressaceae
036349.png,quercus
105455.png,betula
016989.png,picea
021776.png,fagus
032913.png,poaceae
026041.png,alnus
028174.png,populus
073015.png,cupressaceae
083689.png,fraxinus
114017.png,corylus
020126.png,fraxinus
114620.png,picea
104454.png,urticaceae
037916.png,quercus
103110.png,tilia
025556.png,poaceae
027884.png,tilia
071572.png,cupressaceae
099757.png,pinus
107213.png,pinus
068232.png,picea
024732.png,poaceae
065687.png,cupressaceae
089394.png,fagus
016440.png,populus
052334.png,poaceae
048768.png,tilia
080197.png,carpinus
029347.png,picea
097512.png,pinus
104977.png,picea
031937.png,corylus
025489.png,pinus
065755.png,fraxinus
061149.png,pinus
027014.png,tilia
052195.png,salix
003793.png,carpinus
008356.png,quercus
022676.png,alnus
017106.png,salix
069173.png,pinus
046979.png,fagus
070574.png,picea
097795.png,fraxinus
110401.png,corylus
063362.png,corylus
058667.png,corylus
036308.png,alnus
080367.png,alnus
086133.png,poaceae
046994.png,alnus
094538.png,poaceae
085680.png,fagus
084331.png,quercus
069103.png,urticaceae
071206.png,populus
007480.png,alnus
020888.png,quercus
065777.png,urticaceae
014993.png,quercus
110956.png,carpinus
035740.png,quercus
052295.png,cupressaceae
104131.png,picea
088458.png,fagus
026918.png,picea
051419.png,fraxinus
030340.png,tilia
089165.png,corylus
067654.png,fraxinus
090269.png,urticaceae
088607.png,urticaceae
093526.png,fagus
050077.png,quercus
005150.png,alnus
112648.png,fraxinus
061793.png,cupressaceae
096546.png,picea
030506.png,poaceae
048487.png,fagus
012386.png,salix
018676.png,poaceae
095179.png,quercus
036616.png,alnus
058714.png,fraxinus
106756.png,quercus
069996.png,populus
111609.png,poaceae
017401.png,betula
039426.png,tilia
043778.png,carpinus
066472.png,carpinus
110004.png,quercus
035628.png,picea
105288.png,cupressaceae
006138.png,betula
104564.png,betula
020495.png,alnus
101688.png,betula
053676.png,carpinus
098468.png,fagus
026281.png,fagus
019342.png,carpinus
043831.png,urticaceae
045573.png,cupressaceae
016219.png,poaceae
031960.png,betula
051404.png,poaceae
069998.png,tilia
013492.png,alnus
010121.png,carpinus
108056.png,fagus
082407.png,picea
060460.png,poaceae
076239.png,cupressaceae
028933.png,tilia
028264.png,pinus
089086.png,salix
074230.png,fraxinus
068869.png,fagus
020353.png,pinus
016111.png,betula
067232.png,poaceae
009725.png,cupressaceae
018302.png,betula
037536.png,urticaceae
032468.png,urticaceae
100282.png,betula
040042.png,populus
012251.png,populus
098246.png,fraxinus
047413.png,picea
065550.png,pinus
106322.png,alnus
005046.png,betula
102011.png,fagus
004660.png,alnus
029771.png,fraxinus
065372.png,poaceae
078542.png,urticaceae
069585.png,fagus
056478.png,corylus
084031.png,salix
032847.png,fagus
091055.png,fraxinus
015623.png,populus
012290.png,alnus
090796.png,tilia
075926.png,alnus
077771.png,populus
086760.png,poaceae
026170.png,tilia
040961.png,alnus
107351.png,pinus
020911.png,fagus
088114.png,cupressaceae
012075.png,fraxinus
077894.png,quercus
090851.png,alnus
085869.png,fagus
028838.png,quercus
037457.png,populus
091983.png,fraxinus
056164.png,pinus
095439.png,tilia
084313.png,pinus
047357.png,pinus
004286.png,alnus
048675.png,picea
105413.png,quercus
085078.png,corylus
041853.png,corylus
062439.png,urticaceae
033851.png,betula
038462.png,carpinus
050294.png,picea
049076.png,pinus
003889.png,corylus
089346.png,alnus
105691.png,alnus
038523.png,alnus
007953.png,urticaceae
048608.png,urticaceae
040437.png,carpinus
019232.png,carpinus
043104.png,betula
087440.png,urticaceae
015960.png,populus
025104.png,quercus
047511.png,quercus
080353.png,betula
087024.png,poaceae
102233.png,fagus
093648.png,alnus
027254.png,fagus
028564.png,populus
054475.png,picea
085996.png,carpinus
106551.png,tilia
091311.png,picea
091394.png,betula
070869.png,cupressaceae
031314.png,poaceae
056602.png,fraxinus
067347.png,alnus
013334.png,betula
051670.png,fraxinus
026587.png,quercus
095466.png,pinus
087257.png,fraxinus
002325.png,tilia
093188.png,alnus
052880.png,fagus
093136.png,picea
017988.png,tilia
074687.png,tilia
109137.png,salix
030365.png,urticaceae
002703.png,carpinus
074997.png,urticaceae
111740.png,corylus
029376.png,populus
055787.png,corylus
078902.png,fagus
096288.png,fagus
062539.png,fraxinus
114760.png,betula
012348.png,picea
043856.png,populus
082867.png,fagus
016744.png,picea
017100.png,betula
009182.png,fagus
040262.png,fraxinus
005096.png,populus
090101.png,fraxinus
083713.png,tilia
037343.png,tilia
068859.png,carpinus
080655.png,urticaceae
045789.png,betula
088950.png,fagus
059122.png,salix
109650.png,urticaceae
042243.png,populus
097923.png,salix
085245.png,fraxinus
074014.png,tilia
110322.png,betula
018296.png,corylus
037839.png,pinus
003271.png,populus
049031.png,picea
032592.png,fraxinus
061941.png,urticaceae
059130.png,fagus
091253.png,alnus
011143.png,fraxinus
058616.png,cupressaceae
084649.png,tilia
110915.png,picea
020450.png,betula
064153.png,fraxinus
057117.png,carpinus
092674.png,poaceae
056100.png,cupressaceae
114339.png,salix
046476.png,tilia
067584.png,corylus
001277.png,populus
062062.png,quercus
015574.png,urticaceae
025011.png,fagus
102003.png,fagus
063388.png,fagus
017768.png,corylus
035588.png,salix
115064.png,cupressaceae
094791.png,quercus
055011.png,quercus
059452.png,urticaceae
029069.png,carpinus
096951.png,cupressaceae
061285.png,corylus
100497.png,fraxinus
076125.png,fagus
000630.png,salix
004394.png,fraxinus
071823.png,tilia
010732.png,picea
071075.png,urticaceae
098473.png,fraxinus
017562.png,betula
102599.png,picea
067479.png,salix
074045.png,populus
027451.png,alnus
083429.png,poaceae
053129.png,poaceae
037009.png,carpinus
023107.png,fagus
015735.png,tilia
047926.png,salix
018839.png,alnus
093478.png,populus
050653.png,populus
106767.png,carpinus
091342.png,urticaceae
012866.png,quercus
003285.png,tilia
054399.png,pinus
053364.png,alnus
028402.png,pinus
101001.png,betula
032070.png,carpinus
045578.png,corylus
091173.png,fagus
054308.png,urticaceae
029172.png,corylus
017569.png,fagus
028116.png,picea
045705.png,cupressaceae
103068.png,carpinus
033726.png,quercus
102355.png,carpinus
036532.png,picea
059546.png,urticaceae
081292.png,betula
058021.png,carpinus
052013.png,quercus
024418.png,corylus
079435.png,pinus
070983.png,salix
069304.png,salix
036139.png,alnus
069894.png,tilia
068659.png,fraxinus
007216.png,urticaceae
010344.png,salix
009830.png,tilia
056912.png,betula
049335.png,quercus
023278.png,tilia
076083.png,fagus
049678.png,populus
047483.png,fraxinus
006304.png,carpinus
088895.png,urticaceae
101094.png,picea
017374.png,quercus
011238.png,carpinus
094259.png,corylus
053171.png,urticaceae
001192.png,carpinus
008070.png,tilia
074429.png,alnus
108339.png,fagus
091769.png,quercus
061315.png,carpinus
062579.png,fraxinus
091528.png,populus
062629.png,picea
002742.png,carpinus
075785.png,tilia
005098.png,picea
018021.png,betula
042175.png,corylus
026247.png,alnus
064827.png,pinus
013907.png,fraxinus
096692.png,urticaceae
070296.png,tilia
105060.png,salix
069737.png,poaceae
077164.png,fagus
053566.png,carpinus
018051.png,tilia
061300.png,quercus
005609.png,fraxinus
042716.png,cupressaceae
061754.png,tilia
082941.png,fraxinus
061911.png,alnus
065655.png,salix
029089.png,carpinus
083194.png,corylus
101972.png,betula
012935.png,fagus
096784.png,populus
097901.png,fraxinus
110328.png,urticaceae
058288.png,fagus
061472.png,betula
040451.png,betula
107146.png,betula
110564.png,alnus
033799.png,cupressaceae
062918.png,salix
014376.png,pinus
110875.png,populus
055489.png,picea
067229.png,salix
052063.png,pinus
051161.png,fraxinus
054093.png,tilia
002919.png,fraxinus
070120.png,quercus
057187.png,poaceae
110580.png,corylus
066423.png,cupressaceae
091894.png,picea
044726.png,picea
109044.png,salix
036808.png,alnus
104082.png,fraxinus
035438.png,carpinus
008452.png,fagus
099300.png,populus
020557.png,corylus
049756.png,cupressaceae
030155.png,picea
108912.png,alnus
045842.png,fagus
030959.png,tilia
009749.png,poaceae
024569.png,quercus
073293.png,betula
068625.png,populus
114574.png,pinus
111474.png,quercus
052255.png,quercus
063414.png,alnus
016313.png,pinus
053017.png,carpinus
053710.png,urticaceae
060577.png,poaceae
061003.png,carpinus
083944.png,populus
071471.png,populus
035329.png,urticaceae
054266.png,salix
064344.png,fagus
071355.png,cupressaceae
034081.png,populus
041615.png,urticaceae
058041.png,salix
020084.png,quercus
091073.png,populus
106029.png,tilia
110201.png,corylus
099343.png,fagus
013811.png,alnus
025337.png,fagus
012697.png,tilia
074533.png,salix
110109.png,urticaceae
076641.png,carpinus
102698.png,fagus
051190.png,fagus
040358.png,fraxinus
050218.png,carpinus
025407.png,populus
099953.png,corylus
038584.png,urticaceae
019188.png,cupressaceae
071409.png,corylus
081153.png,betula
027241.png,fraxinus
041850.png,salix
078927.png,urticaceae
110355.png,poaceae
093626.png,fagus
043213.png,poaceae
082072.png,pinus
102907.png,fagus
087650.png,picea
040298.png,corylus
018293.png,tilia
098698.png,poaceae
007508.png,fagus
108145.png,urticaceae
088315.png,poaceae
043833.png,cupressaceae
056778.png,poaceae
049346.png,picea
044748.png,tilia
003426.png,urticaceae
059649.png,urticaceae
043667.png,pinus
013897.png,alnus
101593.png,fagus
094419.png,populus
074694.png,pinus
049391.png,fagus
043998.png,betula
113847.png,fraxinus
018775.png,quercus
100854.png,carpinus
088179.png,betula
079810.png,fagus
029732.png,tilia
049750.png,picea
004290.png,tilia
018710.png,carpinus
101469.png,betula
094216.png,urticaceae
049051.png,betula
006154.png,pinus
100909.png,carpinus
102628.png,corylus
069276.png,cupressaceae
020176.png,quercus
018177.png,picea
065829.png,fagus
077847.png,poaceae
091536.png,salix
058601.png,fagus
057636.png,pinus
009683.png,alnus
020211.png,salix
109740.png,salix
000096.png,corylus
052901.png,quercus
098622.png,populus
